investimento_fsa,coproducao,fomento_indireto,publico_total,qtd_sessoes,dias_cartaz,renda_total,independente,cat_duracao,animacao,documentario,ficcao,variedades,videomusical
False,False,False,1611.0,23.0,23.0,12323.13,True,LONGA METRAGEM,False,False,True,False,False
True,True,True,618.0,105.0,76.0,7624.21,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,26710.0,956.0,161.0,346178.94,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2176.0,55.0,55.0,43389.44,True,MÉDIA METRAGEM,False,False,True,False,False
True,False,True,61366.0,1861.0,354.0,635793.33,True,LONGA METRAGEM,True,False,False,False,False
False,False,False,728.0,74.0,32.0,7703.95,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,30127.0,13.0,11.0,328817.61,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,189.0,30.0,30.0,1569.23,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,4085518.0,11.0,6.0,43919194.33,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,301.0,37.0,37.0,3051.73,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,9435.0,439.0,91.0,103867.83,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,13.0,3.0,3.0,30.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,4693.0,178.0,29.0,53406.35,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,4308.0,196.0,76.0,43907.16,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,2603.0,5.0,4.0,31127.04,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,338.0,51.0,44.0,2018.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,2887.0,2.0,2.0,36875.48,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,1827.0,7.0,7.0,11688.05,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,7456.0,225.0,199.0,148672.64,False,CURTA METRAGEM,False,False,True,False,False
False,False,True,7731.0,361.0,46.0,86851.32,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,622.0,78.0,25.0,4937.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,91.0,5.0,5.0,903.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,224.0,45.0,13.0,3631.37,True,LONGA METRAGEM,False,True,False,False,False
False,True,False,1570.0,2.0,2.0,18524.9,False,LONGA METRAGEM,False,True,False,False,False
False,False,True,1230.0,105.0,95.0,12682.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,3970.0,301.0,98.0,51295.98,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,100.0,6.0,6.0,1260.44,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,2192.0,121.0,51.0,21416.16,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,815.0,24.0,22.0,5909.28,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,52.0,1.0,1.0,1468.5,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,1128.0,43.0,32.0,6271.0,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,1715803.0,2.0,2.0,18254049.24,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1623.0,80.0,57.0,17974.12,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,46618.0,556.0,316.0,448762.43,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,45.0,19.0,19.0,897.3000000000001,True,CURTA METRAGEM,False,False,False,False,True
False,False,False,385.0,21.0,21.0,6253.61,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,571.0,55.0,32.0,8055.72,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1236.0,62.0,21.0,17102.01,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,20.0,14.0,14.0,150.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,157.0,14.0,14.0,1724.3,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1641.0,83.0,30.0,23196.64,True,LONGA METRAGEM,False,False,True,False,False
True,True,True,34358.0,1242.0,102.0,439151.77,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,566.0,116.0,33.0,6036.66,True,LONGA METRAGEM,False,True,False,False,False
